NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
120177001928	75.0	25.0	23.5	76.5	11	34670	45270	41556
120177001930	67.6	32.4	-1.0	-1.0	-1	-1	-1	47378
120177001931	76.9	23.1	25.0	75.0	15	34930	49226	42542
120177001932	55.1	44.9	23.0	77.0	15	35276	51475	45665
120177001933	59.6	40.4	36.0	64.0	13	36048	50693	45243
120177001934	72.7	27.3	17.1	82.9	18	35211	52448	48525
120177002104	58.5	40.2	26.6	73.4	16	36085	52370	45839
120177002264	81.1	18.9	40.6	59.4	9	36233	51061	44674
120177002265	82.1	17.9	42.4	57.6	11	37754	49430	42871
120177002266	82.1	17.9	24.3	75.7	14	37021	47274	44229
120177002411	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
120177002481	68.9	31.1	25.8	74.2	17	40484	56024	49308
120177002536	80.3	19.7	38.8	61.2	9	34991	43795	39258
120177002537	78.1	21.9	30.0	70.0	12	49666	66581	60919
120177002638	70.7	29.3	34.8	65.2	11	35026	46388	41755
120177002671	65.4	32.7	32.6	67.4	12	36916	49350	43843
120177002673	82.5	17.5	46.4	53.6	10	40842	54192	45590
120177002674	75.0	25.0	61.5	38.5	7	35959	43743	37014
120177002901	67.9	32.1	26.2	73.8	13	44263	50246	46785
120177002902	68.3	31.7	38.5	61.5	12	45532	53362	49463
120177002903	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	50842
120177002958	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
120177003019	76.6	23.4	24.4	75.6	15	34646	49171	45197
120177003020	66.0	34.0	39.5	60.5	13	44133	53904	47855
120177003121	80.0	20.0	26.7	73.3	13	34707	47338	42551
120177003500	73.1	26.9	39.1	60.9	9	44696	55688	50896
120177003501	75.0	25.0	46.9	53.1	10	35127	47780	40982
120177003502	77.7	22.3	-1.0	-1.0	-1	-1	-1	46005
120177003503	71.0	26.6	25.7	74.3	13	36745	47763	43590
120177003661	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
120177003943	70.5	29.5	49.3	50.7	8	35739	43997	39078
120177004148	73.5	25.0	-1.0	-1.0	-1	-1	-1	39050
120177004149	75.0	-1.0	57.1	42.9	8	48540	51530	47849
120177004150	100.0	0.0	-1.0	-1.0	-1	-1	-1	29903
120177005371	78.7	21.3	29.4	70.6	12	36172	45762	40797
120180001935	81.3	12.5	36.2	63.8	13	34017	47703	42337
120180001936	85.7	14.3	59.2	40.8	8	36281	45928	40218
120180001937	66.7	25.0	42.9	57.1	12	34394	48585	41955
120180001938	73.9	26.1	21.7	78.3	17	36081	49756	46783
120180001939	60.5	31.6	26.3	73.7	17	33111	50886	46208
120180001940	68.8	31.3	25.0	75.0	17	35940	51090	47302
120180001941	74.1	22.2	55.6	44.4	9	35986	50158	42284
120180001942	69.6	28.6	33.9	66.1	13	35908	51173	45994
120180002413	80.0	-1.0	60.0	-1.0	9	38475	-1	42010
120180002639	69.7	21.2	19.4	80.6	17	34725	48566	44262
120180003805	84.0	16.0	40.0	60.0	8	33910	37721	36197
120180004143	53.6	35.7	29.6	70.4	15	34036	44651	41167
120180004452	79.5	20.5	43.2	56.8	9	32906	38696	36196
120180004453	0.0	0.0	-1.0	0.0	-1	-1	-2	-1
120180005395	0.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
120180007110	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
120183001943	70.0	26.0	24.0	76.0	15	35530	47372	44530
120183001944	55.6	-1.0	33.3	66.7	12	36269	46337	42981
120183001945	73.3	23.3	36.7	63.3	13	34028	46291	41795
120183001946	69.8	28.6	27.0	73.0	14	36483	47238	44336
120183001947	79.0	17.7	21.0	79.0	16	34517	47343	44654
120183001948	92.3	7.7	38.5	61.5	12	38771	46134	43302
120183002966	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
120183004454	77.1	20.0	31.4	68.6	12	33616	45566	41810
120183005396	77.5	17.5	35.0	65.0	11	32666	43643	39801
120186001949	77.5	17.5	55.0	45.0	10	33385	45726	38939
120186001951	72.7	27.3	72.7	27.3	5	33178	44429	36247
120186001952	75.0	-1.0	37.5	62.5	13	42881	47161	45556
120186001953	80.0	0.0	-1.0	80.0	8	-1	38728	36893
120186001955	65.0	35.0	47.5	52.5	8	35546	44273	40128
120186002002	69.6	28.3	38.6	61.4	12	33986	44528	41352
120186003512	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	24088
120189001956	83.3	-1.0	-1.0	66.7	11	-1	36334	34398
120189001957	87.5	-1.0	37.5	62.5	8	30892	27259	28621
120189003513	71.1	28.1	37.6	62.4	10	30721	37934	34795
120189003807	-1.0	-1.0	0.0	-1.0	-1	-2	-1	-1
120192001196	77.4	22.6	53.2	46.8	11	34678	49114	40465
120192001208	70.1	29.9	43.9	56.1	9	34746	43483	38637
120192001959	63.6	36.4	40.6	59.4	12	34606	48061	42300
120192001960	71.4	-1.0	42.9	57.1	10	34664	44100	40056
120192001962	50.8	49.2	16.9	83.1	16	35371	48835	45729
120192001963	63.5	36.5	31.9	68.1	10	34640	43585	39974
120192001964	65.9	34.1	16.7	83.3	13	34573	44491	42384
120192001966	80.8	19.2	16.0	84.0	16	34365	47145	44740
120192001967	50.0	50.0	31.6	68.4	15	35050	49313	43180
120192001969	55.7	43.2	25.0	75.0	14	35230	46854	42944
120192001970	58.3	41.7	21.4	78.6	17	35749	49494	45706
120192001971	71.1	28.9	24.2	75.8	15	33857	48493	43355
120192001972	68.8	31.3	35.7	64.3	12	34323	46731	41513
120192001973	72.0	28.0	31.8	68.2	14	33858	49308	43008
120192001979	62.5	37.5	30.0	70.0	12	34417	45287	41453
120192001983	76.7	23.3	27.6	72.4	16	34825	49192	44816
120192001984	86.1	13.9	43.8	56.3	10	34657	44756	39507
120192001986	56.1	43.0	28.4	71.6	15	35557	48575	43724
120192001987	69.2	30.8	32.8	67.2	14	34591	47844	42889
120192001988	72.0	28.0	18.4	81.6	14	34486	46209	43832
120192001990	61.5	36.7	37.2	62.8	12	34750	47939	41815
120192001991	76.5	23.5	26.7	73.3	12	34374	44564	40960
120192001992	67.4	32.6	41.5	58.5	13	35078	49299	42319
120192001993	64.4	35.6	28.3	71.7	13	35006	46336	42134
120192001994	65.0	35.0	15.8	84.2	16	33861	47831	44987
120192001995	54.5	44.2	29.3	70.7	16	35349	50003	44634
120192001996	62.1	37.9	22.2	77.8	13	34283	45537	42434
120192001998	78.4	21.6	34.4	65.6	11	34361	44901	40140
120192001999	48.4	51.6	12.9	87.1	17	34599	49228	47341
120192002000	63.9	33.3	26.5	73.5	16	34700	50858	45819
120192002003	94.4	-1.0	23.5	76.5	13	34369	44294	41453
120192002004	66.7	33.3	44.7	55.3	10	34979	46957	40071
120192002005	67.0	33.0	21.6	78.4	16	34948	47851	44049
120192002006	77.8	-1.0	0.0	100.0	22	-1	49388	47551
120192002007	66.7	33.3	26.9	73.1	11	34006	45016	40190
120192002008	76.4	23.6	20.4	79.6	16	34410	48140	45116
120192002009	61.9	38.1	26.8	73.2	14	35229	46977	43564
120192002010	69.4	30.6	43.3	56.7	10	35513	45832	39944
120192002011	56.2	43.8	18.8	81.2	15	35220	47131	44267
120192002013	60.0	-1.0	0.0	100.0	22	-2	66119	66119
120192002105	63.6	36.4	16.7	83.3	17	34798	48909	46308
120192002267	81.5	18.5	33.3	66.7	12	34487	46057	41162
120192002268	79.5	20.5	21.1	78.9	18	33794	50344	45016
120192002269	58.8	41.2	28.0	72.0	16	35324	49778	45479
120192002270	45.5	54.5	27.3	72.7	16	36010	50264	46377
120192002271	60.4	39.6	28.8	71.2	14	34524	49160	44710
120192002415	70.6	29.4	35.7	64.3	14	35225	48190	41672
120192002416	73.6	26.4	39.1	60.9	11	34809	45154	40196
120192002417	60.9	39.1	17.7	82.3	15	35307	47078	43827
120192002418	70.8	28.1	30.1	69.9	14	35015	47755	41960
120192002419	58.0	40.7	9.6	90.4	17	35208	47553	45370
